"","year","state","location","n"
"1",2005,"BA","LUÍS EDUARDO MAGALHÃES",60
"2",2005,"DF","BRASÍLIA",60
"3",2005,"GO","GOIÂNIA",60
"4",2005,"GO","IPAMERI",60
"5",2005,"GO","RIO VERDE",60
"6",2005,"MA","RIACHÃO",59
"7",2005,"MG","UBERABA",60
"8",2005,"MS","CHAPADÃO DO SUL",60
"9",2005,"MS","MARACAJÚ",60
"10",2005,"MT","RONDONÓPOLIS",60
"11",2005,"PR","GUARAPUAVA",60
"12",2005,"PR","LONDRINA",60
"13",2005,"PR","PATO BRANCO",60
"14",2005,"PR","TAMARANA",60
"15",2005,"SP","CANDIDO MOTA",60
"16",2005,"SP","CAPÃO BONITO",60
"17",2005,"SP","JABOTICABAL",60
"18",2005,"SP","PAULÍNIA",120
"19",2006,"BA","LUÍS EDUARDO MAGALHÃES",32
"20",2006,"GO","GOIÂNIA",64
"21",2006,"GO","IPAMERI",32
"22",2006,"GO","SENADOR CANEDO",32
"23",2006,"MG","UBERABA",32
"24",2006,"MS","CHAPADÃO DO SUL",32
"25",2006,"MS","COSTA RICA",32
"26",2006,"MS","MARACAJÚ",32
"27",2006,"MT","CAMPO VERDE",32
"28",2006,"PR","CASCAVEL",32
"29",2006,"PR","GUARAPUAVA",32
"30",2006,"PR","LONDRINA",64
"31",2006,"PR","PATO BRANCO",32
"32",2006,"RS","PASSO FUNDO",32
"33",2006,"SP","CAPÃO BONITO",32
"34",2006,"SP","PAULÍNIA",64
"35",2007,"BA","LUÍS EDUARDO MAGALHÃES",124
"36",2007,"DF","PLANALTINA",124
"37",2007,"GO","GOIÂNIA",124
"38",2007,"GO","IPAMERI",124
"39",2007,"GO","SENADOR CANEDO",124
"40",2007,"MA","RIACHÃO",124
"41",2007,"MG","UBERABA",124
"42",2007,"MS","CHAPADÃO DO SUL",300
"43",2007,"MS","DOURADOS",124
"44",2007,"MS","SÃO GABRIEL DO OESTE",124
"45",2007,"MT","CAMPO VERDE",124
"46",2007,"PR","GUARAPUAVA",124
"47",2007,"PR","LONDRINA",124
"48",2007,"PR","PATO BRANCO",124
"49",2007,"PR","TAMARANA",124
"50",2007,"SP","CAPÃO BONITO",124
"51",2007,"SP","PAULÍNIA",124
"52",2007,"TO","ALVORADA",124
"53",2008,"BA","LUÍS EDUARDO MAGALHÃES",40
"54",2008,"BA","SÃO DESIDÉRIO",40
"55",2008,"GO","GOIÂNIA",40
"56",2008,"MG","UBERABA",40
"57",2008,"MS","CHAPADÃO DO SUL",40
"58",2008,"MS","DOURADOS",40
"59",2008,"PR","LONDRINA",80
"60",2008,"PR","MARILÂNDIA DO SUL",40
"61",2008,"PR","TAMARANA",40
"62",2008,"RS","PASSO FUNDO",40
"63",2009,"BA","LUÍS EDUARDO MAGALHÃES",1
"64",2009,"DF","PLANALTINA",124
"65",2009,"GO","GOIÂNIA",124
"66",2009,"GO","JATAÍ",124
"67",2009,"GO","RIO VERDE",248
"68",2009,"MG","UBERABA",124
"69",2009,"MS","ANTONIO JOÃO",75
"70",2009,"MS","CHAPADÃO DO SUL",248
"71",2009,"MS","PONTA PORÃ",125
"72",2009,"MS","SÃO GABRIEL DO OESTE",139
"73",2009,"MT","BRASNORTE",124
"74",2009,"MT","CAMPO VERDE",124
"75",2009,"MT","JACIARA",124
"76",2009,"MT","LUCAS DO RIO VERDE",248
"77",2009,"MT","RONDONÓPOLIS",124
"78",2009,"MT","TANGARÁ DA SERRA",246
"79",2009,"PR","ENTRE RIOS",124
"80",2009,"PR","LONDRINA",248
"81",2009,"RS","PASSO FUNDO",60
"82",2009,"RS","SANTA MARIA",248
"83",2009,"SP","CAPÃO BONITO",124
"84",2009,"SP","IRACEMÁPOLIS",124
