study,year,location,state,rep,n_spray,brand_name,group,active_ingred,sev,yld
1,2005,LUÍS EDUARDO MAGALHÃES,BA,1,,Alert,DMI_MBC,flusilazole + carbendazim,2,3614.3
1,2005,LUÍS EDUARDO MAGALHÃES,BA,2,,Alert,DMI_MBC,flusilazole + carbendazim,9,2476.7
1,2005,LUÍS EDUARDO MAGALHÃES,BA,3,,Alert,DMI_MBC,flusilazole + carbendazim,14,2958.9
1,2005,LUÍS EDUARDO MAGALHÃES,BA,4,,Alert,DMI_MBC,flusilazole + carbendazim,1,2996
1,2005,LUÍS EDUARDO MAGALHÃES,BA,1,,Artea,DMI_DMI,cyproconazole + propiconazole,7,3602.8
1,2005,LUÍS EDUARDO MAGALHÃES,BA,2,,Artea,DMI_DMI,cyproconazole + propiconazole,1,2657.8
1,2005,LUÍS EDUARDO MAGALHÃES,BA,3,,Artea,DMI_DMI,cyproconazole + propiconazole,1,3257.1
1,2005,LUÍS EDUARDO MAGALHÃES,BA,4,,Artea,DMI_DMI,cyproconazole + propiconazole,1,2986.4
1,2005,LUÍS EDUARDO MAGALHÃES,BA,1,,Celeiro,DMI_MBC,flutriafol + thiophanate-methyl,7,2684.6
1,2005,LUÍS EDUARDO MAGALHÃES,BA,2,,Celeiro,DMI_MBC,flutriafol + thiophanate-methyl,1,2687
1,2005,LUÍS EDUARDO MAGALHÃES,BA,3,,Celeiro,DMI_MBC,flutriafol + thiophanate-methyl,1,2960.3
1,2005,LUÍS EDUARDO MAGALHÃES,BA,4,,Celeiro,DMI_MBC,flutriafol + thiophanate-methyl,1,3539.8
1,2005,LUÍS EDUARDO MAGALHÃES,BA,1,,Charisma,QOI_DMI,flusilazole + famoxadone,8,3108.3
1,2005,LUÍS EDUARDO MAGALHÃES,BA,2,,Charisma,QOI_DMI,flusilazole + famoxadone,10,2519.4
1,2005,LUÍS EDUARDO MAGALHÃES,BA,3,,Charisma,QOI_DMI,flusilazole + famoxadone,12,3337.9
1,2005,LUÍS EDUARDO MAGALHÃES,BA,4,,Charisma,QOI_DMI,flusilazole + famoxadone,5,3185.2
1,2005,LUÍS EDUARDO MAGALHÃES,BA,1,,CHECK,CHECK,CHECK,70,1909.7
1,2005,LUÍS EDUARDO MAGALHÃES,BA,2,,CHECK,CHECK,CHECK,65,1571.4
